Query	Entry	Entry_Name	Protein_Name	Gene_Names	Organism	GO_IDs	GO_Terms	GO_Evidence	Status
A0A1D2MPH3	A0A1D2MPH3	A0A1D2MPH3_ORCCI	Guanylate cyclase	NA	Orchesella cincta	GO:0005886;GO:0004016;GO:0005524;GO:0005525;GO:0004383;GO:0001653;GO:0004672;GO:0035556;GO:0007168	C:plasma membrane;F:adenylate cyclase activity;F:ATP binding;F:GTP binding;F:guanylate cyclase activity;F:peptide receptor activity;F:protein kinase activity;P:intracellular signal transduction;P:receptor guanylyl cyclase signaling pathway	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:InterPro;IEA:UniProtKB-KW;IEA:UniProtKB-EC;IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter	Success
A0A1D2MPH3	A0A1D2MPH3	A0A1D2MPH3_ORCCI	Guanylate cyclase	NA	Orchesella cincta	GO:0005886;GO:0004016;GO:0005524;GO:0005525;GO:0004383;GO:0001653;GO:0004672;GO:0035556;GO:0007168	C:plasma membrane;F:adenylate cyclase activity;F:ATP binding;F:GTP binding;F:guanylate cyclase activity;F:peptide receptor activity;F:protein kinase activity;P:intracellular signal transduction;P:receptor guanylyl cyclase signaling pathway	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:InterPro;IEA:UniProtKB-KW;IEA:UniProtKB-EC;IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter	Success
A0A1D2MNF2	A0A1D2MNF2	A0A1D2MNF2_ORCCI	Protein Star	NA	Orchesella cincta	GO:0005789;GO:0005794;GO:0031902;GO:0005886;GO:0006888;GO:0016197	C:endoplasmic reticulum membrane;C:Golgi apparatus;C:late endosome membrane;C:plasma membrane;P:endoplasmic reticulum to Golgi vesicle-mediated transport;P:endosomal transport	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2MVV2	A0A1D2MVV2	A0A1D2MVV2_ORCCI	Phosphoacetylglucosamine mutase	NA	Orchesella cincta	GO:0000287;GO:0004610;GO:0005975;GO:0006048	F:magnesium ion binding;F:phosphoacetylglucosamine mutase activity;P:carbohydrate metabolic process;P:UDP-N-acetylglucosamine biosynthetic process	IEA:InterPro;IEA:UniProtKB-UniRule;IEA:InterPro;IEA:UniProtKB-UniRule	Success
A0A1D2MUF3	A0A1D2MUF3	A0A1D2MUF3_ORCCI	DnaJ subfamily C member 25	NA	Orchesella cincta	GO:0005789;GO:0006457	C:endoplasmic reticulum membrane;P:protein folding	IEA:TreeGrafter;IEA:InterPro	Success
A0A1D2MTY0	A0A1D2MTY0	A0A1D2MTY0_ORCCI	Innexin	inx	Orchesella cincta	GO:0005921;GO:0005886;GO:0005243;GO:0034220;GO:0007602	C:gap junction;C:plasma membrane;F:gap junction channel activity;P:monoatomic ion transmembrane transport;P:phototransduction	IEA:UniProtKB-SubCell;IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:TreeGrafter	Success
A0A1D2NMV6	A0A1D2NMV6	A0A1D2NMV6_ORCCI	F-box domain-containing protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MKN5	A0A1D2MKN5	A0A1D2MKN5_ORCCI	Scavenger receptor class B member 1	NA	Orchesella cincta	GO:0005901;GO:0005737;GO:0005044	C:caveola;C:cytoplasm;F:scavenger receptor activity	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2MYP0	A0A1D2MYP0	A0A1D2MYP0_ORCCI	Thymosin beta-10	NA	Orchesella cincta	GO:0005856;GO:0005829;GO:0003785;GO:0007015	C:cytoskeleton;C:cytosol;F:actin monomer binding;P:actin filament organization	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:InterPro;IEA:InterPro	Success
A0A1D2MYT7	A0A1D2MYT7	A0A1D2MYT7_ORCCI	Nocturnin	NA	Orchesella cincta	GO:0000175;GO:0006139	F:3'-5'-RNA exonuclease activity;P:nucleobase-containing compound metabolic process	IEA:TreeGrafter;IEA:UniProtKB-ARBA	Success
A0A1D2MYT7	A0A1D2MYT7	A0A1D2MYT7_ORCCI	Nocturnin	NA	Orchesella cincta	GO:0000175;GO:0006139	F:3'-5'-RNA exonuclease activity;P:nucleobase-containing compound metabolic process	IEA:TreeGrafter;IEA:UniProtKB-ARBA	Success
A0A1D2MYT3	A0A1D2MYT3	A0A1D2MYT3_ORCCI	Gamma-aminobutyric acid receptor subunit beta	NA	Orchesella cincta	GO:0034707;GO:0045211;GO:0005254;GO:0005230;GO:0004890;GO:0099095	C:chloride channel complex;C:postsynaptic membrane;F:chloride channel activity;F:extracellular ligand-gated monoatomic ion channel activity;F:GABA-A receptor activity;F:ligand-gated monoatomic anion channel activity	IEA:UniProtKB-KW;IEA:UniProtKB-SubCell;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:UniProtKB-ARBA	Success
A0A1D2MYT3	A0A1D2MYT3	A0A1D2MYT3_ORCCI	Gamma-aminobutyric acid receptor subunit beta	NA	Orchesella cincta	GO:0034707;GO:0045211;GO:0005254;GO:0005230;GO:0004890;GO:0099095	C:chloride channel complex;C:postsynaptic membrane;F:chloride channel activity;F:extracellular ligand-gated monoatomic ion channel activity;F:GABA-A receptor activity;F:ligand-gated monoatomic anion channel activity	IEA:UniProtKB-KW;IEA:UniProtKB-SubCell;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:UniProtKB-ARBA	Success
A0A1D2N5H2	A0A1D2N5H2	A0A1D2N5H2_ORCCI	DE-cadherin	NA	Orchesella cincta	GO:0005912;GO:0016342;GO:0008013;GO:0045296;GO:0005509;GO:0034332;GO:0009887;GO:0016339;GO:0016477;GO:0000902;GO:0044331;GO:0007043;GO:0001736;GO:0007163;GO:0007156	C:adherens junction;C:catenin complex;F:beta-catenin binding;F:cadherin binding;F:calcium ion binding;P:adherens junction organization;P:animal organ morphogenesis;P:calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules;P:cell migration;P:cell morphogenesis;P:cell-cell adhesion mediated by cadherin;P:cell-cell junction assembly;P:establishment of planar polarity;P:establishment or maintenance of cell polarity;P:homophilic cell adhesion via plasma membrane adhesion molecules	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-UniRule;IEA:TreeGrafter;IEA:UniProtKB-ARBA;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-ARBA;IEA:UniProtKB-ARBA;IEA:InterPro	Success
A0A1D2N5H2	A0A1D2N5H2	A0A1D2N5H2_ORCCI	DE-cadherin	NA	Orchesella cincta	GO:0005912;GO:0016342;GO:0008013;GO:0045296;GO:0005509;GO:0034332;GO:0009887;GO:0016339;GO:0016477;GO:0000902;GO:0044331;GO:0007043;GO:0001736;GO:0007163;GO:0007156	C:adherens junction;C:catenin complex;F:beta-catenin binding;F:cadherin binding;F:calcium ion binding;P:adherens junction organization;P:animal organ morphogenesis;P:calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules;P:cell migration;P:cell morphogenesis;P:cell-cell adhesion mediated by cadherin;P:cell-cell junction assembly;P:establishment of planar polarity;P:establishment or maintenance of cell polarity;P:homophilic cell adhesion via plasma membrane adhesion molecules	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-UniRule;IEA:TreeGrafter;IEA:UniProtKB-ARBA;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-ARBA;IEA:UniProtKB-ARBA;IEA:InterPro	Success
A0A1D2N5L9	A0A1D2N5L9	A0A1D2N5L9_ORCCI	Homeodomain-only protein	NA	Orchesella cincta	GO:0005634;GO:0003677;GO:0030154;GO:0006357	C:nucleus;F:DNA binding;P:cell differentiation;P:regulation of transcription by RNA polymerase II	IEA:UniProtKB-SubCell;IEA:UniProtKB-UniRule;IEA:InterPro;IEA:TreeGrafter	Success
A0A1D2N5L1	A0A1D2N5L1	A0A1D2N5L1_ORCCI	SAFB-like transcription modulator	NA	Orchesella cincta	GO:0005634;GO:0003723;GO:0043565;GO:0050684;GO:0006357	C:nucleus;F:RNA binding;F:sequence-specific DNA binding;P:regulation of mRNA processing;P:regulation of transcription by RNA polymerase II	IEA:UniProtKB-SubCell;IEA:UniProtKB-UniRule;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2N626	A0A1D2N626	A0A1D2N626_ORCCI	LysM and putative peptidoglycan-binding domain-containing protein 1	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2N5J3	A0A1D2N5J3	A0A1D2N5J3_ORCCI	Uncharacterized protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MVK2	A0A1D2MVK2	A0A1D2MVK2_ORCCI	Chromodomain-helicase-DNA-binding protein 1	NA	Orchesella cincta	GO:0000785;GO:0005634;GO:0005524;GO:0016887;GO:0140658;GO:0003682;GO:0003677;GO:0004386;GO:0042393;GO:0008641;GO:0034728;GO:0036211	C:chromatin;C:nucleus;F:ATP binding;F:ATP hydrolysis activity;F:ATP-dependent chromatin remodeler activity;F:chromatin binding;F:DNA binding;F:helicase activity;F:histone binding;F:ubiquitin-like modifier activating enzyme activity;P:nucleosome organization;P:protein modification process	IEA:TreeGrafter;IEA:UniProtKB-SubCell;IEA:UniProtKB-KW;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter;IEA:InterPro	Success
A0A1D2MZL9	A0A1D2MZL9	A0A1D2MZL9_ORCCI	Acetylcholine receptor subunit beta-like 2	NA	Orchesella cincta	GO:0016020;GO:0006811	C:membrane;P:monoatomic ion transport	IEA:UniProtKB-KW;IEA:InterPro	Success
A0A1D2NFB8	A0A1D2NFB8	A0A1D2NFB8_ORCCI	Large ribosomal subunit protein uL22m	NA	Orchesella cincta	GO:0005762;GO:0003735;GO:0006412	C:mitochondrial large ribosomal subunit;F:structural constituent of ribosome;P:translation	IEA:TreeGrafter;IEA:InterPro;IEA:InterPro	Success
A0A1D2NFT1	A0A1D2NFT1	A0A1D2NFT1_ORCCI	Uncharacterized protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MRS6	A0A1D2MRS6	A0A1D2MRS6_ORCCI	RNA helicase	NA	Orchesella cincta	GO:0005829;GO:0005524;GO:0016787;GO:0003676;GO:0003724;GO:0010468	C:cytosol;F:ATP binding;F:hydrolase activity;F:nucleic acid binding;F:RNA helicase activity;P:regulation of gene expression	IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:InterPro;IEA:UniProtKB-EC;IEA:UniProtKB-ARBA	Success
A0A1D2NFE3	A0A1D2NFE3	A0A1D2NFE3_ORCCI	Myosin light chain kinase, smooth muscle	NA	Orchesella cincta	GO:0005634;GO:0005524;GO:0004674;GO:0035556;GO:0043065	C:nucleus;F:ATP binding;F:protein serine/threonine kinase activity;P:intracellular signal transduction;P:positive regulation of apoptotic process	IEA:TreeGrafter;IEA:UniProtKB-UniRule;IEA:UniProtKB-KW;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2NFA3	A0A1D2NFA3	A0A1D2NFA3_ORCCI	U6 snRNA-associated Sm-like protein LSm1	LSM1	Orchesella cincta	GO:1990726;GO:0000932;GO:1990904;GO:0003729;GO:0000290;GO:0006397	C:Lsm1-7-Pat1 complex;C:P-body;C:ribonucleoprotein complex;F:mRNA binding;P:deadenylation-dependent decapping of nuclear-transcribed mRNA;P:mRNA processing	IEA:TreeGrafter;IEA:UniProtKB-SubCell;IEA:UniProtKB-KW;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-UniRule	Success
A0A1D2NFS1	A0A1D2NFS1	A0A1D2NFS1_ORCCI	Small ribosomal subunit protein mS26	NA	Orchesella cincta	GO:0005763	C:mitochondrial small ribosomal subunit	IEA:InterPro	Success
A0A1D2NG53	A0A1D2NG53	A0A1D2NG53_ORCCI	Transcription initiation protein SPT3	NA	Orchesella cincta	GO:0005634;GO:0046982;GO:0003713;GO:0006366	C:nucleus;F:protein heterodimerization activity;F:transcription coactivator activity;P:transcription by RNA polymerase II	IEA:UniProtKB-SubCell;IEA:InterPro;IEA:TreeGrafter;IEA:InterPro	Success
A0A1D2NFD0	A0A1D2NFD0	A0A1D2NFD0_ORCCI	Phosphatidylinositide phosphatase SAC2	NA	Orchesella cincta	GO:0045334;GO:0005769;GO:0043812;GO:0046856;GO:2001135	C:clathrin-coated endocytic vesicle;C:early endosome;F:phosphatidylinositol-4-phosphate phosphatase activity;P:phosphatidylinositol dephosphorylation;P:regulation of endocytic recycling	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2M5Y5	A0A1D2M5Y5	A0A1D2M5Y5_ORCCI	Uncharacterized protein	NA	Orchesella cincta	GO:0005634	C:nucleus	IEA:TreeGrafter	Success
A0A1D2N160	A0A1D2N160	A0A1D2N160_ORCCI	ABC transporter G family member 23	NA	Orchesella cincta	GO:0016020;GO:0140359;GO:0005524;GO:0016887	C:membrane;F:ABC-type transporter activity;F:ATP binding;F:ATP hydrolysis activity	IEA:UniProtKB-SubCell;IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro	Success
A0A1D2MZZ9	A0A1D2MZZ9	A0A1D2MZZ9_ORCCI	Delta-1-pyrroline-5-carboxylate synthase	NA	Orchesella cincta	GO:0005739;GO:0005524;GO:0004349;GO:0004350;GO:0055129	C:mitochondrion;F:ATP binding;F:glutamate 5-kinase activity;F:glutamate-5-semialdehyde dehydrogenase activity;P:L-proline biosynthetic process	IEA:UniProtKB-UniRule;IEA:UniProtKB-UniRule;IEA:UniProtKB-UniRule;IEA:UniProtKB-UniRule;IEA:UniProtKB-UniRule	Success
A0A1D2N013	A0A1D2N013	A0A1D2N013_ORCCI	Insulin-like growth factor-binding protein-related protein 1	NA	Orchesella cincta	GO:0005576;GO:0016020;GO:0005520;GO:0001558;GO:0009966	C:extracellular region;C:membrane;F:insulin-like growth factor binding;P:regulation of cell growth;P:regulation of signal transduction	IEA:UniProtKB-SubCell;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter	Success
A0A1D2N8W6	A0A1D2N8W6	A0A1D2N8W6_ORCCI	Uncharacterized protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2M991	A0A1D2M991	A0A1D2M991_ORCCI	Large ribosomal subunit protein uL14	NA	Orchesella cincta	GO:0022625;GO:0070180;GO:0003735;GO:0006412	C:cytosolic large ribosomal subunit;F:large ribosomal subunit rRNA binding;F:structural constituent of ribosome;P:translation	IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro;IEA:InterPro	Success
A0A1D2N005	A0A1D2N005	A0A1D2N005_ORCCI	Transmembrane emp24 domain-containing protein eca	NA	Orchesella cincta	GO:0016020	C:membrane	IEA:UniProtKB-SubCell	Success
A0A1D2MZZ5	A0A1D2MZZ5	A0A1D2MZZ5_ORCCI	DDRGK domain-containing protein 1	NA	Orchesella cincta	GO:0005789;GO:0044389	C:endoplasmic reticulum membrane;F:ubiquitin-like protein ligase binding	IEA:UniProtKB-SubCell;IEA:TreeGrafter	Success
A0A1D2N024	A0A1D2N024	A0A1D2N024_ORCCI	Cardioactive peptide	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2N092	A0A1D2N092	A0A1D2N092_ORCCI	Phosphatidate phosphatase PPAPDC1A	NA	Orchesella cincta	GO:0016020;GO:0008195;GO:0046839;GO:0006644	C:membrane;F:phosphatidate phosphatase activity;P:phospholipid dephosphorylation;P:phospholipid metabolic process	IEA:UniProtKB-SubCell;IEA:UniProtKB-EC;IEA:TreeGrafter;IEA:UniProtKB-UniPathway	Success
A0A1D2N009	A0A1D2N009	A0A1D2N009_ORCCI	Protein BCCIP	NA	Orchesella cincta	GO:0005634	C:nucleus	IEA:TreeGrafter	Success
A0A1D2MZ55	A0A1D2MZ55	A0A1D2MZ55_ORCCI	Protein ECM34	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2MWX7	A0A1D2MWX7	A0A1D2MWX7_ORCCI	sphingomyelin phosphodiesterase	NA	Orchesella cincta	GO:0016020;GO:0004767;GO:0006665	C:membrane;F:sphingomyelin phosphodiesterase activity;P:sphingolipid metabolic process	IEA:UniProtKB-SubCell;IEA:UniProtKB-EC;IEA:UniProtKB-KW	Success
A0A1D2MUP7	A0A1D2MUP7	A0A1D2MUP7_ORCCI	Lambda-crystallin	NA	Orchesella cincta	GO:0050104;GO:0070403;GO:0006631	F:L-gulonate 3-dehydrogenase activity;F:NAD+ binding;P:fatty acid metabolic process	IEA:TreeGrafter;IEA:InterPro;IEA:InterPro	Success
A0A1D2MUP7	A0A1D2MUP7	A0A1D2MUP7_ORCCI	Lambda-crystallin	NA	Orchesella cincta	GO:0050104;GO:0070403;GO:0006631	F:L-gulonate 3-dehydrogenase activity;F:NAD+ binding;P:fatty acid metabolic process	IEA:TreeGrafter;IEA:InterPro;IEA:InterPro	Success
A0A1D2MTU1	A0A1D2MTU1	A0A1D2MTU1_ORCCI	Spondin-1	NA	Orchesella cincta	GO:0031012;GO:0005576;GO:0046872;GO:0004867;GO:0007155	C:extracellular matrix;C:extracellular region;F:metal ion binding;F:serine-type endopeptidase inhibitor activity;P:cell adhesion	IEA:UniProtKB-UniRule;IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:InterPro;IEA:UniProtKB-KW	Success
A0A1D2MU24	A0A1D2MU24	A0A1D2MU24_ORCCI	Transient receptor potential-gamma protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2NC66	A0A1D2NC66	A0A1D2NC66_ORCCI	Uncharacterized protein	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2M235	A0A1D2M235	A0A1D2M235_ORCCI	ATP-dependent DNA helicase	NA	Orchesella cincta	GO:0005524;GO:0016887;GO:0003678;GO:0006310;GO:0006281;GO:0000723	F:ATP binding;F:ATP hydrolysis activity;F:DNA helicase activity;P:DNA recombination;P:DNA repair;P:telomere maintenance	IEA:UniProtKB-KW;IEA:RHEA;IEA:InterPro;IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:InterPro	Success
A0A1D2N5A0	A0A1D2N5A0	A0A1D2N5A0_ORCCI	Potassium voltage-gated channel protein Shaker	NA	Orchesella cincta	GO:0008076;GO:0005251;GO:0001508;GO:0051260	C:voltage-gated potassium channel complex;F:delayed rectifier potassium channel activity;P:action potential;P:protein homooligomerization	IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro	Success
A0A1D2N7K2	A0A1D2N7K2	A0A1D2N7K2_ORCCI	WH1 domain-containing protein	NA	Orchesella cincta	GO:0003700;GO:0006357	F:DNA-binding transcription factor activity;P:regulation of transcription by RNA polymerase II	IEA:InterPro;IEA:InterPro	Success
A0A1D2NDW7	A0A1D2NDW7	A0A1D2NDW7_ORCCI	Nipped-B protein	NA	Orchesella cincta	GO:0090694;GO:0003682;GO:0061775;GO:0140588;GO:0034087;GO:0071169;GO:0010468;GO:1990414	C:Scc2-Scc4 cohesin loading complex;F:chromatin binding;F:cohesin loader activity;P:chromatin looping;P:establishment of mitotic sister chromatid cohesion;P:establishment of protein localization to chromatin;P:regulation of gene expression;P:replication-born double-strand break repair via sister chromatid exchange	IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro;IEA:TreeGrafter	Success
A0A1D2NEM3	A0A1D2NEM3	A0A1D2NEM3_ORCCI	Sterol carrier protein 2	NA	Orchesella cincta	GO:0005777;GO:0003988;GO:0050633;GO:0008289;GO:0006629;GO:0006869	C:peroxisome;F:acetyl-CoA C-acyltransferase activity;F:acetyl-CoA C-myristoyltransferase activity;F:lipid binding;P:lipid metabolic process;P:lipid transport	IEA:UniProtKB-SubCell;IEA:UniProtKB-EC;IEA:UniProtKB-EC;IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:UniProtKB-KW	Success
A0A1D2MEN6	A0A1D2MEN6	A0A1D2MEN6_ORCCI	RNA-directed DNA polymerase from mobile element jockey	NA	Orchesella cincta	GO:0031012;GO:0003964;GO:0061343;GO:0007508	C:extracellular matrix;F:RNA-directed DNA polymerase activity;P:cell adhesion involved in heart morphogenesis;P:larval heart development	IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2M8W7	A0A1D2M8W7	A0A1D2M8W7_ORCCI	Membrane-bound transcription factor site-1 protease	NA	Orchesella cincta	GO:0004252;GO:0006508	F:serine-type endopeptidase activity;P:proteolysis	IEA:InterPro;IEA:UniProtKB-KW	Success
A0A1D2NDV8	A0A1D2NDV8	A0A1D2NDV8_ORCCI	Dual specificity tyrosine-phosphorylation-regulated kinase 2	NA	Orchesella cincta	GO:0005737;GO:0005856;GO:0005634;GO:0005524;GO:0004674	C:cytoplasm;C:cytoskeleton;C:nucleus;F:ATP binding;F:protein serine/threonine kinase activity	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:InterPro;IEA:UniProtKB-KW	Success
A0A1D2NDT7	A0A1D2NDT7	A0A1D2NDT7_ORCCI	Striatin-interacting protein 1	NA	Orchesella cincta	GO:0005829;GO:0007010	C:cytosol;P:cytoskeleton organization	IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2NDT2	A0A1D2NDT2	A0A1D2NDT2_ORCCI	Protein SSUH2	NA	Orchesella cincta	NA	NA	NA	Success
A0A1D2NDU2	A0A1D2NDU2	A0A1D2NDU2_ORCCI	DNA replication complex GINS protein PSF3	NA	Orchesella cincta	GO:0000811;GO:1902975	C:GINS complex;P:mitotic DNA replication initiation	IEA:UniProtKB-UniRule;IEA:TreeGrafter	Success
A0A1D2N909	A0A1D2N909	A0A1D2N909_ORCCI	tRNA (uracil-O(2)-)-methyltransferase	NA	Orchesella cincta	GO:0005737;GO:0141101;GO:0030488	C:cytoplasm;F:tRNA(Ser) (uridine(44)-2'-O-)-methyltransferase activity;P:tRNA methylation	IEA:UniProtKB-SubCell;IEA:UniProtKB-EC;IEA:UniProtKB-UniRule	Success
A0A1D2N909	A0A1D2N909	A0A1D2N909_ORCCI	tRNA (uracil-O(2)-)-methyltransferase	NA	Orchesella cincta	GO:0005737;GO:0141101;GO:0030488	C:cytoplasm;F:tRNA(Ser) (uridine(44)-2'-O-)-methyltransferase activity;P:tRNA methylation	IEA:UniProtKB-SubCell;IEA:UniProtKB-EC;IEA:UniProtKB-UniRule	Success
A0A1D2N915	A0A1D2N915	A0A1D2N915_ORCCI	60S ribosomal protein L23a	NA	Orchesella cincta	GO:1990904;GO:0005840;GO:0019843;GO:0003735;GO:0006412	C:ribonucleoprotein complex;C:ribosome;F:rRNA binding;F:structural constituent of ribosome;P:translation	IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro	Success
A0A1D2MQJ9	A0A1D2MQJ9	A0A1D2MQJ9_ORCCI	Glutamate-gated chloride channel	NA	Orchesella cincta	GO:0005886;GO:0005254;GO:0005230;GO:0099095;GO:0004888	C:plasma membrane;F:chloride channel activity;F:extracellular ligand-gated monoatomic ion channel activity;F:ligand-gated monoatomic anion channel activity;F:transmembrane signaling receptor activity	IEA:UniProtKB-SubCell;IEA:UniProtKB-ARBA;IEA:InterPro;IEA:UniProtKB-ARBA;IEA:InterPro	Success
A0A1D2MH31	A0A1D2MH31	A0A1D2MH31_ORCCI	Atrial natriuretic peptide receptor 3	NA	Orchesella cincta	GO:0017046;GO:0038023;GO:0007165	F:peptide hormone binding;F:signaling receptor activity;P:signal transduction	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2NFQ9	A0A1D2NFQ9	A0A1D2NFQ9_ORCCI	ARF GTPase-activating protein GIT2	NA	Orchesella cincta	GO:0005096;GO:0031267;GO:0008270;GO:0007420;GO:0032012;GO:0008277	F:GTPase activator activity;F:small GTPase binding;F:zinc ion binding;P:brain development;P:regulation of ARF protein signal transduction;P:regulation of G protein-coupled receptor signaling pathway	IEA:InterPro;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:InterPro;IEA:InterPro;IEA:TreeGrafter	Success
A0A1D2NFV7	A0A1D2NFV7	A0A1D2NFV7_ORCCI	Structural maintenance of chromosomes protein 6	NA	Orchesella cincta	GO:0005634;GO:0035861;GO:0030915;GO:0005524;GO:0003684;GO:0003697;GO:0000724	C:nucleus;C:site of double-strand break;C:Smc5-Smc6 complex;F:ATP binding;F:damaged DNA binding;F:single-stranded DNA binding;P:double-strand break repair via homologous recombination	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter;IEA:UniProtKB-KW;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2NFY2	A0A1D2NFY2	A0A1D2NFY2_ORCCI	Rab-like protein 2A	NA	Orchesella cincta	GO:0005525;GO:0003924	F:GTP binding;F:GTPase activity	IEA:InterPro;IEA:InterPro	Success
A0A1D2NGC5	A0A1D2NGC5	A0A1D2NGC5_ORCCI	F-box/WD repeat-containing protein 7	NA	Orchesella cincta	GO:0005737;GO:0005634;GO:0043130;GO:0043161;GO:0010992	C:cytoplasm;C:nucleus;F:ubiquitin binding;P:proteasome-mediated ubiquitin-dependent protein catabolic process;P:ubiquitin recycling	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2NFT6	A0A1D2NFT6	A0A1D2NFT6_ORCCI	Sorting and assembly machinery component 50	NA	Orchesella cincta	GO:0005741;GO:0033108;GO:0045040	C:mitochondrial outer membrane;P:mitochondrial respiratory chain complex assembly;P:protein insertion into mitochondrial outer membrane	IEA:UniProtKB-SubCell;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2M5Q3	A0A1D2M5Q3	A0A1D2M5Q3_ORCCI	Acyl-CoA Delta(11) desaturase	NA	Orchesella cincta	GO:0005789;GO:0005506;GO:0004768;GO:0006636	C:endoplasmic reticulum membrane;F:iron ion binding;F:stearoyl-CoA 9-desaturase activity;P:unsaturated fatty acid biosynthetic process	IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter;IEA:TreeGrafter	Success
A0A1D2M4D6	A0A1D2M4D6	A0A1D2M4D6_ORCCI	Cytochrome P450 4g1	NA	Orchesella cincta	GO:0020037;GO:0005506;GO:0004497;GO:0016705	F:heme binding;F:iron ion binding;F:monooxygenase activity;F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	IEA:InterPro;IEA:InterPro;IEA:UniProtKB-KW;IEA:InterPro	Success
A0A1D2N0C3	A0A1D2N0C3	A0A1D2N0C3_ORCCI	Lovastatin diketide synthase LovF	NA	Orchesella cincta	GO:0004315;GO:0016491;GO:0031177;GO:0006633	F:3-oxoacyl-[acyl-carrier-protein] synthase activity;F:oxidoreductase activity;F:phosphopantetheine binding;P:fatty acid biosynthetic process	IEA:InterPro;IEA:InterPro;IEA:InterPro;IEA:UniProtKB-UniPathway	Success
